Index,Dataset,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster
52,yelp_review_polarity,2.628879053877147,18.713549354322087,16804.767320181232,3.6986808414420986,2,
53,amazon_review_full,4.307057897032673,13.057798600467574,2921.68243685462,0,0,
54,ag_news,3.9387402802206593,14.170211531762344,4232.16984415302,0,0,
55,amazon_review_polarity,2.5026504286094267,19.915719797463158,17884.316378121915,0,0,
56,dbpedia,7.8161206233517255,7.75791858289965,528.7319895730069,0,0,
57,amazon_review_polarity,2.444875574264032,20.56301711587927,18465.589370059584,3.4170798149088846,2,
58,dbpedia,7.816085260700309,7.78031409507994,530.258329864679,3.21259316518924,3,
59,amazon_review_full,4.27529178877353,13.217199891037565,2957.348475619655,0,0,
60,amazon_review_polarity,2.5296074697981834,20.076043408498307,18028.28698083148,0,0,
61,yelp_review_polarity,2.5929905564575018,19.351500378966804,17377.64734031219,0,0,
62,dbpedia,7.872037675845076,7.726052018194247,526.5601606246233,0,0,
63,ag_news,3.901510003631185,14.260668052256445,4259.1861916072585,0,0,
64,amazon_review_full,4.385638852151673,12.786468374952278,2860.9722988955723,0,0,
65,yelp_review_polarity,2.5970814514232012,18.805206228214413,16887.075192936543,0,0,
66,dbpedia,7.78915254122076,7.891008914208166,537.8026075375719,3.475364767801681,2,
67,dbpedia,7.976994776246861,7.655094208482057,521.7241129780848,0,0,
68,ag_news,3.8433705011881623,14.299905489259173,4270.905106125406,0,0,
69,yelp_review_full,4.335493795001313,12.670440569513989,2835.011077428755,3.503453917963201,2,
70,yelp_review_polarity,2.670919636460127,18.828203219036794,16907.72649069504,0,0,
71,ag_news,3.9394953999903195,14.236419539685317,4251.943969186014,0,0,
72,yelp_review_polarity,2.6982177530609235,18.632633286701818,16732.104691458233,0,0,
73,yelp_review_polarity,2.7094449230390905,18.146070414862564,16295.171232546581,0,0,
74,yelp_review_polarity,2.7290946126290567,18.32182384172646,16452.99780987036,0,0,
75,ag_news,3.8469402857518618,14.424330165662496,4308.066609477865,2.8184260942617385,2,
76,dbpedia,7.7924698718354435,7.816598249844944,532.7312345663554,0,0,
77,dbpedia,7.858823440890917,7.7628309415055305,529.0667857056847,0,0,
78,dbpedia,7.695935707462804,7.905129626765273,538.7649884087716,0,0,
79,yelp_review_polarity,2.6060220998573214,18.871654366732685,16946.74562132595,0,0,
80,yahoo_answers,6.486324278691091,9.40658625671509,930.2068631640478,0,0,
81,amazon_review_polarity,2.6477333294323993,18.94246950430863,17010.33761486915,0,0,
82,yelp_review_polarity,2.6364204952885895,18.7556792166489,16842.599936550712,0,0,
83,ag_news,3.8525933583502265,14.443793804534094,4313.879749620849,3.017828890002946,3,
84,ag_news,3.8869559922885273,14.196801133883914,4240.111271986662,3.331687588917923,2,
85,amazon_review_full,4.430226467559473,12.66297834593367,2833.3414049026587,0,0,
86,yahoo_answers,6.4609741727303875,9.378917631849532,927.4707435940093,3.034869383990839,2,
87,amazon_review_full,4.378389139729973,12.940970143852239,2895.5420696869382,0,0,
88,amazon_review_polarity,2.3855317691834848,20.564187639431026,18466.64050020906,0,0,
