Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
229,yahoo_answers,70.08632396,6900,3,880,0.663227722,2.56761045,291.281141,2.27810445,5,1.045517781,10,2.843663561,0.92,10,0.79,0.89,,0.55
341,banking77__4,35.22736031,3350,6,645,0.63526741,1.811680146,624.4257571,2.242028488,2,-0.344214195,4,1.103238838,0.97,4,0.83,0.88,,0.65
167,dbpedia,80.11882129,10941,11,644,1.240130653,1.47310633,117.6218746,2.71204732,2,1.016279969,14,6.270992629,0.95,14,0.33,0.39,,0.06
270,tweet_eval_emoji_5,40.79980469,5637,5,665,0.449495031,2.868556856,730.764859,2.193200944,2,1.844751582,5,2.0153963,0.81,5,0.63,0.77,,0.61
204,yahoo_answers,69.051,7004,3,649,0.674197617,2.571633822,282.8797204,2.680224779,4,0.910896298,10,3.514629302,0.95,10,0.78,0.85,,0.55
392,banking77__10,33.40524781,3125,6,652,0.720319573,1.626998098,184.2123402,2.339213936,2,0.870470936,10,2.596925067,0.91,10,0.89,0.94,,0.86
248,amazon_review_full,109.5825147,9649,18,643,0.513481603,2.086615537,528.4353849,2.303089183,5,0.814711342,5,2.161082438,0.87,5,0.71,0.96,,0.66
55,amazon_review_polarity,106.8359073,9698,14,648,0.690550698,2.112547328,2184.373937,2.553915018,4,0,2,1,0.7,2,0.65,0.82,,0.28
364,banking77__4,34.48019324,3126,5,651,0.624907825,1.788026105,614.4849714,2.249698916,2,0.392076525,4,1.174976963,0.84,4,0.87,0.94,,0.73
281,yelp_review_full,185.1511628,9407,6,1028,0.633182682,1.49135217,382.9046698,1.850533142,2,1.108553281,5,1.323081476,0.79,5,,,,Nan
360,tweet_eval_emoji_5,39.19080235,5383,6,646,0.457830314,2.786452916,708.455654,2.102232784,7,0.38353721,5,2.734802557,0.81,5,0.5,0.74,,0.64
253,banking77__4,30.69466403,2834,5,651,0.622596628,1.769914181,594.6911648,2.262926895,2,-0.100475594,4,1.093174177,0.74,4,0.88,0.95,,0.64
16,dbpedia,78.43731491,10665,11,648,1.23983636,1.446178061,111.1332218,1.83574057,14,1.007646809,14,5.397777507,0.91,14,0.38,0.41,,0.11
408,tweet_eval_emoji_4,41.96499527,5702,5,649,0.451885989,2.903120885,1018.995431,1.898945057,7,1.577951355,4,2.321846833,0.79,4,0.7,0.82,,0.59
35,yelp_review_polarity,183.3585086,9485,7,1255,0.882847938,1.525874369,1593.012841,1.872365447,2,0,2,1,0.87,2,0.1,0.22,,0.08
264,tweet_eval_emoji_10,42.52394636,5676,5,659,0.488314477,2.682481649,308.1873361,2.055227507,4,0.522142974,10,2.272339299,0.96,10,0.72,,,Nan
104,dbpedia,77.15,10606,11,643,1.224804521,1.483174143,117.056667,2.575295609,2,0.865950859,14,5.8964012,0.93,14,0.33,0.36,,0.11
361,tweet_eval_emoji_4,39.2702439,5540,5,661,0.436863609,2.868569168,976.2697067,1.725090157,7,1.154504475,4,2.163138235,1,4,0.5,0.74,,0.61
268,yahoo_answers,68.47609562,7122,3,1169,0.666617846,2.563111935,283.0814737,2.134204945,6,0.40399921,10,2.456343328,0.87,10,0.82,0.9,,0.59
37,amazon_review_polarity,109.2567568,9605,18,646,0.695304595,2.10716814,2178.811857,2.291132229,6,0,2,1,0.71,2,0.54,0.74,,0.36
286,yelp_review_polarity,182.6377649,9488,6,1219,0.887994677,1.508512949,1562.819415,2.00224167,2,0,2,1,0.51,2,0.19,0.34,,0.12
262,tweet_eval_emoji_14,40.33810888,5712,4,644,0.599758396,2.573307171,204.4789467,1.663832005,7,1.015958471,14,3.53528049,0.88,14,0.65,0.74,,0.75
334,banking77__4,34.06057692,3130,5,653,0.626893951,1.8179986,627.8155166,1.884209425,3,0.416556809,4,1.779013642,0.76,4,0.9,0.96,,Nan
438,tweet_eval_emoji_5,41.20310982,5517,5,644,0.445700683,2.881711736,737.7182044,1.643618087,7,-0.256519493,5,2.086491095,0.81,5,0.62,0.7,,0.62
86,yahoo_answers,74.70825336,7328,3,1002,0.69027501,2.505837422,287.3360243,2.303809815,7,0.883621343,10,2.730735617,0.87,10,0.86,0.9,,0.57
381,banking77__5,35.25435203,3273,5,639,0.655908261,1.776772111,457.0746257,2.242151403,2,1.330946784,5,1.746830106,0.85,5,0.81,0.85,,Nan
3,amazon_review_polarity,109.9914449,9735,16,658,0.692326943,2.112181346,2217.790413,2.583383517,4,0,2,1,0.91,2,0.45,0.6,,0.31
261,banking77__10,32.2,2913,5,645,0.717839594,1.630119133,182.9355916,2.272735765,2,0.841167384,10,2.674872981,0.88,10,0.87,0.92,,0.86
78,dbpedia,77.04509804,10691,11,645,1.214555179,1.480101042,114.5370498,2.519368973,2,1.069715943,14,4.178017481,0.93,14,0.43,0.55,,0.15
176,amazon_review_full,110.8829175,9848,16,643,0.52491386,2.075401819,538.0479217,3.008423885,2,0.563473556,5,1.949237968,0.81,5,0.8,,,Nan
262,tweet_eval_emoji_14,39.95242718,5758,4,649,0.599645284,2.574503611,201.2073591,1.720024481,7,0.983676169,14,3.904373593,0.88,14,0.63,0.76,,0.74
254,ag_news,57.44901961,8085,13,646,0.777758808,2.179334862,738.0680731,2.497585253,2,0.094420891,4,1.848099813,0.84,4,0.59,0.6,,0.17
221,yelp_review_full,183.5304519,9452,5,1318,0.632410614,1.510541104,382.5445345,1.856588411,2,0.341348532,5,1.673862032,0.92,5,0.55,0.86,,0.54
212,yelp_review_full,183.4382896,9376,5,1218,0.630614317,1.482112171,379.4207158,2.043113006,2,0.844628119,5,2.526326899,0.8,5,0.37,0.96,,Nan
115,amazon_review_polarity,108.1741245,9489,18,645,0.7039493,2.08202674,2136.159435,2.565493484,3,0,2,1,0.71,2,0.54,0.76,,0.26
