Index,Dataset,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster
75,ag_news,0.3221184492102111,5.98089075088501,5374.8271484375,2.199756145477295,7,
76,dbpedia,0.47424968587474725,4.3900580406188965,907.0535888671875,1.761824131011963,15,
77,dbpedia,0.47999952314839034,4.355207443237305,899.8528442382812,1.7198328971862793,15,
78,dbpedia,0.47423009581483105,4.371717929840088,903.2642211914062,1.7361749410629272,16,
79,yelp_review_polarity,0.3367041920604,4.806926727294922,12969.087890625,1.7652411460876465,2,
80,yahoo_answers,0.2794675660400654,7.010503768920898,2095.36181640625,2.614368200302124,4,
81,amazon_review_polarity,0.2622123608968347,6.245750904083252,16851.03515625,2.522216320037842,2,
82,yelp_review_polarity,0.3350634773554096,4.857138633728027,13104.5595703125,1.9210821390151978,3,
83,ag_news,0.3223834909489597,5.95958137512207,5355.67724609375,2.1429684162139893,6,
84,ag_news,0.3233282342544044,5.965338230133057,5360.8505859375,2.3833155632019043,2,
85,amazon_review_full,0.21342827901171404,5.980174541473389,4029.142578125,2.527233839035034,4,
86,yahoo_answers,0.28268367431344155,6.916450023651123,2067.25,2.274775981903076,6,
87,amazon_review_full,0.21313604662742971,6.064291954040527,4085.816650390625,2.4573140144348145,4,
88,amazon_review_polarity,0.25913966943638417,6.242433071136475,16842.083984375,2.000614881515503,3,
89,yelp_review_polarity,0.3300136576078027,4.920374870300293,13275.171875,1.8599247932434082,4,
90,yelp_review_polarity,0.33054374158200517,4.874660968780518,13151.8349609375,1.8450405597686768,2,
91,yelp_review_full,0.26146949032869693,4.761823654174805,3208.27880859375,1.927889347076416,2,
92,dbpedia,0.4785313218119838,4.351418972015381,899.070068359375,1.8674222230911255,14,
93,amazon_review_polarity,0.267358697949021,6.155932903289795,16608.70703125,2.3991880416870117,4,
94,dbpedia,0.473120667182004,4.4128499031066895,911.7626953125,1.8299099206924438,10,
95,dbpedia,0.4766914919016147,4.366767406463623,902.2413330078125,1.7913408279418945,14,
96,yelp_review_polarity,0.326751708982556,4.923352241516113,13283.2041015625,1.9059714078903198,2,
97,amazon_review_full,0.21725505540695547,6.050125598907471,4076.272216796875,2.5332813262939453,3,
98,amazon_review_full,0.21322461962627132,6.009075164794922,4048.614501953125,2.2861666679382324,2,
99,dbpedia,0.4770998312601261,4.392812728881836,907.6226806640625,2.0342421531677246,11,
100,dbpedia,0.4810656064320418,4.411487579345703,911.481201171875,1.9150943756103516,12,
101,ag_news,0.3202152542760814,6.028314590454102,5417.4453125,2.391676664352417,2,
102,amazon_review_polarity,0.2688525269410699,6.073748588562012,16386.974609375,2.1700503826141357,6,
103,ag_news,0.31726268604306823,6.065217971801758,5450.609375,2.5983312129974365,4,
104,dbpedia,0.4770067204319535,4.372847080230713,903.4974365234375,1.788279414176941,14,
105,amazon_review_polarity,0.2607724020860284,6.273964881896973,16927.158203125,2.737694025039673,3,
106,dbpedia,0.4762029905401765,4.410311698913574,911.23828125,1.907458782196045,13,
107,yelp_review_polarity,0.33531471341666474,4.805776119232178,12965.984375,2.1230883598327637,2,
108,yelp_review_polarity,0.3352161819717973,4.829680442810059,13030.4775390625,1.9135105609893799,2,
109,dbpedia,0.4710089285456239,4.423381328582764,913.9385986328125,1.777209997177124,14,
110,yelp_review_polarity,0.3305967350782642,4.845763683319092,13073.8701171875,1.7643080949783325,3,
111,dbpedia,0.4718650442501149,4.41963529586792,913.1646728515625,1.6893259286880493,16,
112,yelp_review_polarity,0.33275627593017515,4.810725688934326,12979.337890625,1.9418580532073975,2,
113,dbpedia,0.47509949569165266,4.390148639678955,907.072265625,1.8921140432357788,14,
114,dbpedia,0.472963850483748,4.3963799476623535,908.3597412109375,1.7493503093719482,15,
115,amazon_review_polarity,0.26782240221715864,6.142405033111572,16572.208984375,2.408461570739746,4,
116,ag_news,0.3256841227403129,5.9907684326171875,5383.70361328125,2.0568206310272217,12,
117,amazon_review_polarity,0.2643021295449823,6.1970086097717285,16719.529296875,2.3031227588653564,6,
118,yelp_review_polarity,0.33388963093178364,4.829355716705322,13029.6015625,1.8379037380218506,2,
119,dbpedia,0.47689202293018057,4.386632442474365,906.3457641601562,1.8620893955230713,14,
120,yelp_review_polarity,0.3292832747083594,4.872077941894531,13144.8662109375,1.7438223361968994,2,
121,amazon_review_polarity,0.26401568949040666,6.155381679534912,16607.220703125,2.3504812717437744,3,
122,yelp_review_polarity,0.3351929485779692,4.821638107299805,13008.779296875,2.0040531158447266,2,
123,dbpedia,0.47454337385412754,4.403840065002441,909.901123046875,1.7574368715286255,13,
124,yelp_review_full,0.2596358334017471,4.748461723327637,3199.276123046875,1.719390630722046,2,
125,amazon_review_polarity,0.2638724942983875,6.2432541847229,16844.298828125,2.4690489768981934,2,
126,amazon_review_polarity,0.2592386181137651,6.295391082763672,16984.96484375,2.6065988540649414,3,
127,ag_news,0.31576193272976527,6.0306267738342285,5419.52294921875,2.162208318710327,2,
128,amazon_review_polarity,0.2643888046325931,6.2013726234436035,16731.302734375,2.1442060470581055,2,
129,yelp_review_polarity,0.33358921110448136,4.818542003631592,13000.4267578125,1.6148648262023926,2,
130,amazon_review_polarity,0.2624548400423616,6.190661430358887,16702.404296875,2.303307056427002,5,
131,ag_news,0.31927957609204893,5.942813396453857,5340.6083984375,2.554682731628418,3,
132,amazon_review_polarity,0.26498083770093217,6.2261061668396,16798.03515625,2.45990252494812,3,
133,yelp_review_polarity,0.3339190110546042,4.805377960205078,12964.91015625,1.8444050550460815,4,
134,ag_news,0.3165398620059932,6.0629119873046875,5448.53662109375,2.855153799057007,2,
135,dbpedia,0.4758793588902509,4.394381999969482,907.9468994140625,1.7214552164077759,17,
136,yelp_review_polarity,0.327484667299359,4.872091770172119,13144.9033203125,1.668529748916626,2,
137,dbpedia,0.4764704516243607,4.3635358810424805,901.5736083984375,1.915183663368225,11,
138,ag_news,0.31995806470422394,6.0477681159973145,5434.927734375,2.4137980937957764,4,
139,yelp_review_polarity,0.32934629171904817,4.88081693649292,13168.4443359375,1.9384821653366089,3,
140,dbpedia,0.4684671470804114,4.394073486328125,907.8831787109375,1.924831509590149,12,
141,yelp_review_polarity,0.33993786324875447,4.73522424697876,12775.634765625,1.8033071756362915,2,
142,dbpedia,0.48543184846613646,4.304745674133301,889.4266967773438,2.0120790004730225,11,
143,dbpedia,0.4711044549229839,4.400187015533447,909.1463623046875,1.8160494565963745,12,
144,ag_news,0.3228669561436618,5.969533920288086,5364.62109375,3.2310261726379395,2,
145,amazon_review_polarity,0.26400779684202763,6.2041239738464355,16738.7265625,2.246173143386841,5,
146,ag_news,0.317254120855614,6.007500648498535,5398.74072265625,2.257493734359741,6,
147,yelp_review_polarity,0.3363773748260428,4.790063858032227,12923.5927734375,1.976874589920044,2,
148,ag_news,0.31471697613505967,6.0570783615112305,5443.29443359375,2.108456611633301,6,
149,amazon_review_polarity,0.26537274072385725,6.232278347015381,16814.6875,2.096341848373413,6,
150,yelp_review_polarity,0.3302967722199052,4.886790752410889,13184.5615234375,1.78813636302948,2,
151,yelp_review_polarity,0.32834208259797987,4.826944351196289,13023.095703125,1.855975866317749,2,
152,yelp_review_polarity,0.3313175638498554,4.89691162109375,13211.8671875,2.0411202907562256,2,
153,yelp_review_polarity,0.3375809043627669,4.8220744132995605,13009.95703125,1.7937984466552734,2,
154,yahoo_answers,0.2826799721876755,6.791540145874023,2029.915771484375,2.1181178092956543,5,
155,ag_news,0.3188055694094146,5.979026794433594,5373.15185546875,2.19218111038208,2,
156,dbpedia,0.4733761718582779,4.422860145568848,913.8309936523438,1.9944149255752563,12,
157,ag_news,0.31315825804977065,6.077772617340088,5461.89208984375,2.4248950481414795,2,
158,dbpedia,0.47672767660421544,4.353418827056885,899.4833374023438,2.0161805152893066,10,
159,amazon_review_polarity,0.26342282940762135,6.205714225769043,16743.017578125,2.3321149349212646,3,
160,ag_news,0.3210520088663543,5.948866367340088,5346.0478515625,2.7731125354766846,3,
161,yelp_review_polarity,0.3359443296970615,4.803997039794922,12961.18359375,0,0,
162,yahoo_answers,0.27904169423977276,6.867307662963867,2052.561767578125,2.129190683364868,6,
163,yelp_review_polarity,0.33157646159149107,4.828486442565918,13027.2568359375,1.8801493644714355,2,
164,yelp_review_polarity,0.328543799617061,4.9055562019348145,13235.1904296875,1.79446542263031,3,
165,ag_news,0.32242218106894144,5.969476699829102,5364.56982421875,2.0619659423828125,2,
166,amazon_review_polarity,0.2595411216201076,6.293967247009277,16981.123046875,2.2703914642333984,2,
167,dbpedia,0.4822232556482396,4.3079118728637695,890.0809326171875,1.9170900583267212,13,
