Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
220,yelp_review_full,180.6731141,9489,8,1382,0.643848795,1.490320507,383.3849504,1.944357124,2,1.593023473,5,1.548669083,1,5,0.66,0.86,,Nan
207,yelp_review_full,182.9052224,9351,4,1376,0.624950465,1.476078415,379.7211722,2.173559096,2,1.351245029,5,2.712108537,0.77,5,0.7,0.82,,0.71
230,yelp_review_full,180.7646494,9611,6,1249,0.617911133,1.515476613,392.5084427,1.761352299,2,2.008650182,5,1.346365971,0.83,5,0.78,Nan,,
130,amazon_review_polarity,109.8291985,9754,15,646,0.686387129,2.118541333,2215.994234,2.269873524,7,0,2,1,0.55,2,0.55,0.65,,0.33
221,yelp_review_full,183.7427466,9529,5,1318,0.631738737,1.518048573,390.5179954,1.898986982,2,0.581633439,5,1.551273622,0.96,5,0.7,0.93,,Nan
145,amazon_review_polarity,104.7194175,9401,16,649,0.690234472,2.114328318,2173.529511,2.570218295,3,0,2,1,0.68,2,0.42,0.71,,Nan
303,banking77__4,33.29805825,3227,5,647,0.629637833,1.794955494,613.8747791,2.139759274,2,0.537564221,4,1.601557914,0.97,4,0.78,,,Nan
360,tweet_eval_emoji_5,40.40804598,5622,6,655,0.460991633,2.79560974,726.15963,2.200276659,6,0.082489772,5,2.509666976,0.81,5,0.56,0.68,,0.68
3,amazon_review_polarity,107.9469624,9678,13,646,0.691452586,2.111676485,2185.585162,2.241198587,6,0,2,1,0.6,2,0.43,0.64,,0.29
412,banking77__4,33.07512195,3082,5,643,0.631757678,1.793197367,610.2848373,2.246355428,2,0.366013168,4,1.140000371,0.79,4,0.93,0.96,,Nan
135,dbpedia,77.95397891,10842,11,646,1.224580187,1.506493085,119.2447219,1.772913474,18,0.9875243,14,5.683065313,0.96,14,0.13,,,Nan
303,banking77__4,33.7367406,3201,5,642,0.635068513,1.801300453,620.2477893,2.126973154,2,0.752245441,4,1.801717177,0.74,4,0.85,0.88,,0.79
355,tweet_eval_emoji_4,39.46905222,5597,5,646,0.439066157,2.914453808,1000.629141,2.132830774,4,0.899530317,4,1.921933763,0.88,4,0.57,0.62,,0.62
227,yelp_review_full,186.515942,9619,3,1486,0.629131841,1.509613763,388.7255439,1.906106943,2,2.171276494,5,1.187169685,0.89,5,0.7,0.97,,0.75
39,ag_news,59.11046512,8469,13,648,0.764671352,2.245690526,769.5232869,2.684414341,2,-0.262724735,4,1.168166343,0.99,4,0.52,0.44,,0.15
259,tweet_eval_emoji_10,39.47109827,5562,5,648,0.521632041,2.657176062,303.5085547,1.902171955,7,0.284458567,10,1.656964199,0.82,10,0.62,0.69,,0.61
255,banking77__2,33.19089147,3085,4,648,0.715390922,1.868355066,1924.405718,2.163555714,2,0,2,1,0.54,2,0.82,0.84,,0.41
9,ag_news,60.73017408,8609,16,659,0.773550961,2.202555864,756.2108465,2.632736196,2,0.124699678,4,1.399536502,0.78,4,0.56,0.56,,0.18
378,tweet_eval_emoji_14,42.37488015,5603,5,642,0.583874911,2.545354616,201.4746077,2.481376253,2,1.204566262,14,2.949551644,0.89,14,0.69,0.8,,0.73
411,tweet_eval_emoji_4,38.87368421,5604,5,651,0.445862763,2.883447621,1000.556325,1.737911049,6,0.886738286,4,2.062143894,0.94,4,0.57,0.77,,0.71
39,ag_news,60.15081652,8540,11,643,0.764987904,2.24407999,775.7036499,2.606308465,2,-0.184693385,4,1.165721789,0.87,4,0.46,0.43,,0.15
202,yelp_review_full,188.5419479,9479,4,1180,0.63056123,1.464404234,377.8162925,1.82927299,2,0.302757275,5,2.011303092,0.81,5,0.71,0.86,,Nan
411,tweet_eval_emoji_4,37.85257032,5529,5,646,0.445593371,2.868530741,981.9936904,1.717711407,8,0.763995334,4,1.995863462,1,4,0.62,0.8,,0.64
211,amazon_review_full,107.2403846,9644,11,646,0.522723656,2.128741324,550.8118175,2.679045126,4,0.961262004,5,1.518671074,0.83,5,0.77,0.95,,0.9
294,banking77__14,33.46570048,3190,4,644,0.759383693,1.595952987,125.3436923,2.216663265,2,0.820213093,14,7.038677674,0.92,14,0.93,0.95,,0.86
296,tweet_eval_emoji_5,39.91481123,5682,5,649,0.434332704,2.898863614,745.0079489,1.82565391,6,0.073323558,5,2.255881819,0.8,5,0.74,0.8,,0.71
399,tweet_eval_emoji_5,40.3495702,5645,6,643,0.447522814,2.895408082,754.2538054,2.155394826,4,0.276114376,5,1.5914008,0.81,5,0.62,0.7,,0.62
217,yelp_review_full,179.5114504,9611,4,1239,0.625786,1.531964336,399.4597005,1.635076384,2,2.10084707,5,1.364047096,0.84,5,0.72,0.95,,Nan
400,banking77__10,33.70905588,3141,6,651,0.741688097,1.612255555,184.1554122,2.12812645,2,0.834459283,10,2.619037847,0.92,10,0.96,0.94,,0.83
59,amazon_review_full,109.8180943,9651,13,645,0.515354078,2.10276052,543.5635944,3.003387316,2,1.524084753,5,1.316657097,0.89,5,0.75,0.98,,0.9
136,yelp_review_polarity,181.6741245,9289,3,1384,0.874806855,1.526455199,1566.143034,1.675758683,2,0,2,1,0.57,2,0.16,0.33,,0.09
282,dbpedia,75.78592093,10781,11,665,1.223532106,1.486133035,116.947238,1.826448873,14,0.983700235,14,6.259159848,0.95,14,0.44,0.52,,0.17
13,yelp_review_polarity,185.1072797,9563,7,1493,0.898436193,1.492120327,1554.789381,1.868596131,2,0,2,1,0.51,2,0.19,0.5,,0.12
1,amazon_review_polarity,105.5628043,9635,13,645,0.684545181,2.144260725,2197.867243,2.294117992,4,0,2,1,0.55,2,0.44,0.68,,0.26
14,dbpedia,76.01634615,10637,11,643,1.239191372,1.485598657,117.2480171,1.635352683,15,0.805998569,14,5.848467051,0.95,14,0.4,0.48,,0.19
92,dbpedia,76.17658537,10699,8,645,1.222085743,1.473757476,114.6129853,1.833935743,15,1.030254853,14,5.047977066,0.91,14,0.43,0.54,,0.13
307,banking77__4,35.10810811,3198,6,663,0.640123495,1.783625714,613.5672457,2.217954385,2,0.641940739,4,1.824175824,0.75,4,0.89,0.94,,0.68
237,yahoo_answers,69.30746848,7231,3,645,0.657914924,2.565568087,291.0494463,2.547845991,2,1.050745903,10,2.540993766,0.96,10,0.83,0.89,,0.63
50,dbpedia,77.80304472,10845,6,648,1.229738512,1.489631559,118.8267636,1.905218847,13,0.909830952,14,4.634684817,0.96,14,0.52,0.53,,0.09
236,yelp_review_full,185.7963671,9396,8,1211,0.632869936,1.500014025,390.3786501,1.588285782,2,1.980141554,5,1.227603065,0.8,5,0.67,0.81,,Nan
411,tweet_eval_emoji_4,40.20515267,5683,5,643,0.451933166,2.873958591,1000.13759,1.731779402,6,0.640766213,4,1.85917227,1,4,0.53,0.71,,0.68
100,dbpedia,76.28351013,10786,11,643,1.23315346,1.50671174,118.5666238,1.911875766,14,0.938842074,14,4.41774588,0.94,14,0.43,0.5,,0.1
439,tweet_eval_emoji_10,40.37451737,5683,5,648,0.494091434,2.70175737,308.0003401,1.94254271,6,0.573568634,10,2.065876409,0.96,10,0.64,0.71,,0.63
258,banking77__14,31.86314761,3037,6,643,0.751935861,1.563301903,121.3362785,2.170253156,2,0.800327403,14,7.73460905,0.93,14,0.91,0.93,,0.93
58,dbpedia,76.91254753,10574,11,662,1.239739261,1.474158061,117.7058513,1.852635854,14,0.937656949,14,5.147104134,0.95,14,0.48,0.56,,0.2
420,yelp_review_full,183.8690249,9470,8,1819,0.635979448,1.47833583,384.7368997,1.753826014,3,1.758729365,5,1.298395938,0.99,5,0.64,0.89,,Nan
412,banking77__4,33.90724638,3223,5,642,0.625160515,1.809399028,621.8301325,2.039711916,3,-0.016757162,4,1.001247657,0.9,4,0.84,0.89,,0.68
354,yelp_review_full,174.4605138,9383,6,1104,0.622464804,1.519881311,397.4489629,1.979261003,3,1.731236977,5,1.679264684,0.77,5,0.71,0.92,,0.72
69,yelp_review_full,182.8956098,9500,5,1250,0.632458919,1.484958907,378.6645212,1.904979937,3,2.076240664,5,1.203537257,0.78,5,0.69,0.9,,Nan
17,amazon_review_polarity,108.5156993,9819,13,642,0.702874626,2.110111209,2213.506659,2.821555457,2,0,2,1,0.56,2,0.53,0.8,,0.24
379,tweet_eval_emoji_10,37.03913894,5387,5,643,0.481831821,2.700088707,303.6099746,1.645388674,6,0.339712104,10,2.222201349,0.96,10,0.56,0.65,,0.65
109,dbpedia,77.48377863,10827,9,643,1.217568877,1.506458691,119.8214067,2.648783147,2,1.137797691,14,5.351620004,0.97,14,0.47,0.55,,Nan
71,ag_news,59.6159769,8437,15,648,0.755931973,2.24721771,775.2901101,2.445371926,3,0.01782339,4,1.061433737,0.84,4,0.53,0.54,,0.16
322,banking77__4,34.92175573,3245,5,642,0.626749385,1.830590442,637.0454739,2.181662615,2,0.292436459,4,1.6045733,0.74,4,0.9,0.95,,0.67
410,tweet_eval_emoji_4,39.01560976,5520,5,650,0.43551501,2.90849661,989.8583464,1.856145716,6,0.632569709,4,1.64450123,1,4,0.61,0.71,,0.65
359,tweet_eval_emoji_4,41.25509214,5693,5,643,0.43243051,2.976824121,1019.066124,2.012854487,6,1.280299467,4,2.211537742,0.96,4,,,,Nan
16,dbpedia,78.70741097,10841,11,650,1.24370962,1.460167744,115.1286106,1.856210685,15,1.035990089,14,6.499848815,0.9,14,0.41,0.52,,0.13
405,tweet_eval_emoji_2,40.62826718,5721,5,643,0.467233835,3.052492432,3147.119697,2.694895102,2,0,2,1,1,2,0,0,,0
347,banking77__4,35.30776606,3126,5,646,0.628416942,1.802447717,624.247726,2.14342725,2,0.329677837,4,1.181655371,0.74,4,0.89,0.94,,0.72
213,amazon_review_full,106.8294574,9557,16,651,0.531706398,2.08445916,535.1848893,2.31856057,6,1.645460217,5,1.270129411,0.88,5,0.79,0.97,,0.87
27,yahoo_answers,68.87130601,6997,3,658,0.668317755,2.57620184,297.4081902,2.304844343,6,0.952025945,10,2.625639568,0.93,10,0.81,0.93,,0.78
97,amazon_review_full,108.495183,9841,17,641,0.540062496,2.079585882,537.053054,2.558877199,4,2.14854673,5,1.506623604,0.82,5,0.81,0.98,,0.86
99,dbpedia,76.51591128,10617,12,659,1.228451454,1.490932373,117.3249091,2.01711726,13,1.047553669,14,5.481494351,0.97,14,0.41,0.48,,0.09
412,banking77__4,35.53670162,3332,5,645,0.631443945,1.824390627,635.4960685,2.229061945,2,0.231347944,4,1.061220634,0.96,4,0.87,0.93,,0.71
370,amazon_review_full,105.6880998,9697,16,660,0.526107123,2.08953448,541.711814,2.49093301,3,0.455978164,5,1.842863482,0.82,5,0.84,0.97,,Nan
47,yelp_review_polarity,179.8910134,9530,7,1212,0.878387675,1.521843086,1588.804182,1.834676227,2,0,2,1,0.99,2,0.25,0.5,,0.1
59,amazon_review_full,108.3866924,9636,16,648,0.517764168,2.094526827,540.3879213,2.995184878,2,1.520907038,5,1.259851278,0.82,5,0.72,0.97,,0.81
279,tweet_eval_emoji_4,41.27938343,5765,6,650,0.459576072,2.912798759,1003.944639,1.584425519,6,0.881773598,4,2.142856142,0.72,4,0.7,0.84,,0.64
428,tweet_eval_emoji_14,39.63522618,5669,5,643,0.586445036,2.602217775,205.1748631,1.888876971,8,1.171272893,14,3.626457279,0.88,14,0.66,0.75,,0.78
57,amazon_review_polarity,101.9180172,9449,17,649,0.688609472,2.145611493,2246.455233,2.416855105,2,0,2,1,0.55,2,0.52,0.73,,0.31
332,banking77__4,35.34774256,3294,5,655,0.63225555,1.812958888,626.6794555,2.2286446,2,0.877142094,4,1.655348207,0.79,4,0.9,0.96,,0.72
80,yahoo_answers,69.39206196,7015,3,934,0.666153356,2.586392748,293.9866423,2.214913275,6,1.146296839,10,2.039311669,0.93,10,,,,Nan
160,ag_news,60.4822627,8439,11,649,0.778316645,2.187522098,757.61182,2.5588313,2,-0.785937089,4,1.492538211,0.99,4,0.53,0.63,,0.17
333,banking77__4,32.80888031,3102,6,642,0.622771695,1.806869734,621.5631887,2.316017381,2,-0.034489594,4,1.325938089,0.74,4,0.9,0.97,,0.77
122,yelp_review_polarity,185.1703349,9590,6,1550,0.893640048,1.509356427,1574.258753,1.987637296,2,0,2,1,0.98,2,0.23,0.55,,Nan
6,amazon_review_polarity,108.4769674,9876,16,652,0.683981184,2.125854306,2210.888478,2.40416299,5,0,2,1,0.95,2,0.55,0.77,,0.39
87,amazon_review_full,109.1777137,9585,18,642,0.530037395,2.080719571,538.9063689,2.535019295,3,1.195522216,5,1.613068666,0.84,5,0.79,0.95,,0.88
63,ag_news,60.58947368,8405,17,643,0.777720085,2.196868233,762.3132767,2.662790497,2,-0.204153319,4,1.619991651,0.87,4,0.22,,,Nan
80,yahoo_answers,66.91097923,6854,3,934,0.656718969,2.624332306,291.884071,2.601591488,5,1.03180097,10,1.785326897,0.97,10,0.82,0.92,,0.67
50,dbpedia,79.50189753,10878,6,643,1.23160483,1.486704858,118.9363886,1.890324129,15,0.914521312,14,4.746102708,0.96,14,0.43,0.5,,0.11
36,yelp_review_polarity,187.2695985,9786,8,1652,0.891414556,1.515748303,1582.441228,1.912306807,3,0,2,1,0.97,2,0.17,,,Nan
293,tweet_eval_emoji_14,40.86551393,5614,5,639,0.582110941,2.603983516,205.7146978,2.132757435,6,1.066772371,14,4.271756309,0.88,14,0.59,0.73,,0.74
168,yelp_review_polarity,181.5553435,9617,6,1327,0.879562266,1.535027328,1605.638585,2.049112713,2,0,2,1,0.51,2,0.28,0.58,,0.09
446,banking77__2,34.8740458,3156,6,645,0.700511425,1.872411832,1958.542776,2.109763055,2,0,2,1,0.95,2,0.75,0.75,,0.47
253,banking77__4,34.37871524,3227,5,641,0.637934564,1.803234222,624.520119,2.188583958,2,0.642890614,4,1.580740537,0.97,4,0.87,0.95,,0.76
228,yelp_review_full,183.8922625,9402,5,1253,0.628754371,1.490137981,378.4950472,2.108613228,2,1.894250279,5,1.21985985,0.79,5,0.68,0.93,,Nan
428,tweet_eval_emoji_14,39.84326923,5578,5,650,0.584817719,2.60110746,205.2874042,1.91763261,8,1.169004046,14,3.588245213,0.88,14,0.6,0.71,,0.68
125,amazon_review_polarity,105.3427184,9532,16,649,0.698557447,2.131992262,2191.688045,2.408854955,3,0,2,1,0.83,2,0.37,,,Nan
47,yelp_review_polarity,178.9137931,9490,7,1212,0.877105624,1.5240738,1588.0849,1.892910402,2,0,2,1,0.51,2,0.22,0.37,,0.07
166,amazon_review_polarity,104.3001949,9547,18,641,0.685944312,2.143789202,2195.240142,2.63993262,3,0,2,1,0.78,2,0.6,0.83,,0.32
185,dbpedia,78.36284889,10805,10,646,1.24227865,1.472961674,116.1373627,2.645258588,2,1.326599551,14,4.023944958,0.96,14,0.51,0.59,,0.11
262,tweet_eval_emoji_14,41.53831418,5686,4,642,0.601248258,2.570834058,203.6891599,1.691140944,8,1.006461533,14,3.572972003,0.88,14,0.57,0.77,,0.69
64,amazon_review_full,106.453125,9556,16,640,0.53176953,2.084595475,531.0506972,2.610161193,5,1.185386973,5,1.897717566,0.82,5,0.76,0.96,,0.82
242,yelp_review_full,187.167619,9583,7,1247,0.624851995,1.488315275,388.8223656,1.803131316,2,1.536744899,5,1.847481269,0.83,5,0.69,0.83,,Nan
206,yelp_review_full,181.7426901,9305,7,1262,0.634161797,1.476415173,376.8549729,2.011085045,2,1.841848209,5,1.648482117,0.86,5,0.64,0.84,,0.76
230,yelp_review_full,181.1805019,9568,6,1249,0.619443972,1.516647934,390.916005,2.036963389,2,1.925953043,5,1.737411167,0.79,5,Nan,,,Nan
133,yelp_review_polarity,193.3113658,9867,6,1248,0.885244289,1.510288739,1578.251732,1.752840529,3,0,2,1,0.71,2,0.23,0.46,,0.11
329,banking77__4,35.75311005,3192,6,643,0.623166825,1.811608799,628.6282533,2.060546274,3,0.020676874,4,1.004934507,0.84,4,0.87,0.94,,0.77
231,yelp_review_full,190.765896,9605,3,1256,0.629218396,1.491442744,385.1650886,1.961232063,2,1.935525373,5,1.858471365,0.9,5,0.71,0.84,,Nan
247,yelp_review_full,179.0807692,9424,6,1225,0.632930392,1.493969018,386.5644835,1.893926479,2,1.521543841,5,1.331789694,0.89,5,0.72,0.85,,0.79
153,yelp_review_polarity,183.7504817,9519,6,1485,0.896022372,1.515404494,1569.959056,1.797402636,2,0,2,1,0.55,2,0.23,0.56,,0.12
