Index,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
328,banking77__4,16.52666667,1156,6,80,3.805443831,14.27108816,4262.29833,0,0,-0.316227766,4,1.834074074,0.75,4,0.86,0.93,Nan,0.69
329,banking77__4,16.84222222,1117,6,70,3.763710488,14.47743256,4323.926525,0,0,0,4,1.951814396,0.83,4,0.88,0.96,Nan,0.6
330,banking77__4,16.85333333,1159,6,79,3.844914115,14.13796677,4222.53941,0,0,-0.592637758,4,2.054824509,0.74,4,0.77,0.92,Nan,0.73
331,banking77__4,16.44888889,1130,6,72,3.874613652,14.15767488,4228.425564,3.469831887,2,0.29261524,4,1.967103058,0.76,4,0.88,0.96,Nan,0.74
332,banking77__4,15.88666667,1137,5,95,3.837974007,14.0939726,4209.399817,0,0,1.278019301,4,2.258106996,0.93,4,0.89,0.93,Nan,0.64
333,banking77__4,16.44222222,1120,6,63,3.767604705,14.39032952,4297.911749,0,0,-1.477097892,4,2.308539945,0.78,4,0.84,0.95,Nan,0.78
334,banking77__4,16.26888889,1133,5,69,3.857043499,14.18301301,4235.993218,0,0,-0.430508683,4,1.786608187,0.74,4,0.88,0.89,Nan,0.68
335,banking77__4,16.25111111,1125,5,98,3.918225918,13.73808321,4103.107519,0,0,0.166154633,4,1.403816478,0.74,4,0.84,0.95,Nan,0.71
336,banking77__4,16.63222222,1128,4,89,3.859289314,14.05327192,4197.243881,0,0,0.230089497,4,1.5216609,1,4,0.92,0.95,Nan,0.7
337,banking77__4,16.25666667,1164,6,98,3.92533541,13.77049761,4112.78862,0,0,0.777481583,4,1.807529517,0.93,4,0.89,0.96,,
338,banking77__4,15.93888889,1069,5,74,3.864309436,14.22326462,4248.015033,3.4329371,2,-0.948683298,4,2.106496,0.73,4,0.85,0.9,Nan,0.74
339,banking77__4,16.67777778,1154,5,80,3.814695915,14.27594609,4263.749231,0,0,0.760469101,4,1.938307447,0.96,4,0.85,0.9,Nan,0.59
340,banking77__4,16.16666667,1132,5,89,3.76954239,14.35190108,4286.434456,0,0,-0.442325868,4,1.697542533,0.7,4,0.85,0.96,0.93,0.71
341,banking77__4,16.27333333,1160,6,85,3.857484908,14.21299971,4244.949248,0,0,-0.996927796,4,2.162595506,0.81,4,0.85,0.9,0.92,0.75
342,banking77__4,16.18666667,1129,5,85,3.868422896,14.21527581,4245.629041,0,0,-0.426401433,4,1.510254056,0.76,4,0.96,0.96,Nan,0.66
343,banking77__4,16.24555556,1095,4,98,3.940232167,13.94901551,4166.105966,0,0,0.410074914,4,2,0.74,4,0.83,0.9,Nan,0.7
